symbol
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
TSLA
BRK-B
JPM
V
UNH
HD
PG
MA
LLY
CVX
MRK
PEP
ABBV
COST
KO
AVGO
MCD
TMO
WMT
DIS
ABT
ACN
ADBE
AMD
AMGN
APD
AXP
BA
BAC
BIIB
BK
BKNG
BLK
BMY
C
CAT
CHTR
CL
CMCSA
COF
COP
CRM
CSCO
CSX
DHR
F
FDX
GD
GE
GILD
GM
GS
HON
IBM
INTC
INTU
ISRG
JNJ
JPM
LMT
LOW
MA
MCD
MDLZ
MDT
MET
MMM
MO
MS
NEE
NFLX
NKE
ORCL
OXY
PM
PYPL
QCOM
RTX
SBUX
SCHW
SO
SPG
T
TGT
TXN
UNH
UNP
UPS
USB
V
VZ
WFC
WMT
XOM
